,id,feature_id,object_id
571,2177,37,101
572,2178,49,103
573,2179,16,103
574,2180,3,103
575,2181,37,103
576,2182,49,104
577,4977,3,342
578,4978,42,342
579,4979,61,342
580,4990,49,345
581,4991,16,345
582,4992,3,345
583,4993,42,345
584,5003,49,348
585,5004,16,348
586,5005,3,348
587,5006,37,348
588,5028,49,353
589,5029,16,353
590,5030,3,353
591,5031,42,353
592,5032,7,353
593,5043,49,356
594,5044,16,356
595,5045,3,356
596,5046,42,356
597,2183,16,104
598,2184,3,104
599,2185,37,104
600,2204,16,91
601,2205,49,91
602,2206,3,91
603,2207,37,91
604,2212,49,106
605,2213,16,106
606,2214,3,106
607,2215,37,106
608,2292,49,120
609,2293,16,120
610,2294,3,120
611,2295,37,120
612,21077,49,1573
613,2221,49,105
614,2222,16,105
615,2223,3,105
616,2224,37,105
617,2225,49,107
618,2226,16,107
619,2227,3,107
620,2228,37,107
621,2229,49,108
622,2230,16,108
623,2231,3,108
624,2232,37,108
625,2233,49,109
626,2234,16,109
627,2235,3,109
628,2236,37,109
629,21078,3,1573
630,21079,18,1573
631,9353,3,618
632,2247,49,110
633,2248,16,110
634,2249,3,110
635,2250,37,110
636,2251,49,111
637,2252,16,111
638,2253,3,111
639,2254,37,111
640,2255,49,112
641,2256,16,112
642,2257,3,112
643,2258,37,112
644,2259,49,113
645,2260,16,113
646,2261,3,113
647,2262,37,113
648,2268,49,114
649,2269,16,114
650,2270,3,114
651,16217,49,1327
652,16218,3,1327
653,16219,16,1327
654,7619,3,619
655,2573,49,177
656,2574,16,177
657,2575,3,177
658,2576,41,177
659,2589,49,180
660,2395,49,140
661,2396,16,140
662,2397,3,140
663,2398,37,140
664,7620,49,619
665,7621,16,619
666,7622,37,619
667,16220,37,1327
668,2590,16,180
669,2591,3,180
670,2592,41,180
671,21080,41,1573
672,21081,59,1573
673,130539,16,3616
674,130540,3,3616
675,2635,49,184
676,2636,16,184
677,2637,3,184
678,2471,49,152
679,2472,16,152
680,2473,3,152
681,2474,37,152
682,2483,49,155
683,2484,16,155
684,2485,3,155
685,2486,37,155
686,2495,49,158
687,2496,16,158
688,2497,3,158
689,2498,37,158
690,2508,49,160
691,2509,16,160
692,2510,3,160
693,2511,37,160
694,2521,49,162
695,2522,16,162
696,2523,3,162
697,2524,37,162
698,2545,49,170
699,2546,16,170
700,2547,3,170
701,2548,41,170
702,2638,41,184
703,33384,49,1508
704,33385,3,1508
705,33386,16,1508
706,33387,61,1508
707,2683,49,96
708,2684,16,96
709,2685,3,96
710,2686,37,96
711,2700,49,190
712,2701,16,190
713,2702,3,190
714,2703,37,190
715,2712,49,193
716,2713,16,193
717,2714,3,193
718,2715,37,193
719,71877,12,1705
720,71878,46,1705
721,118764,49,2012
722,118765,3,2012
723,118766,61,2012
724,118767,23,2012
725,118768,43,2012
726,130541,62,3616
727,4802,49,125
728,4803,16,125
729,4804,3,125
730,4805,42,125
731,4830,49,133
732,4831,16,133
733,4832,3,133
734,4833,37,133
735,4906,49,328
736,4907,16,328
737,4908,3,328
738,4909,42,328
739,4910,61,328
740,4936,49,333
741,4937,16,333
742,4938,3,333
743,4939,42,333
744,4940,61,333
745,4960,49,338
746,4961,16,338
747,4962,3,338
748,4963,42,338
749,4964,61,338
750,4980,49,343
751,4774,49,260
752,4775,11,260
753,4776,16,260
754,5126,3,378
755,5127,19,378
756,5128,49,378
757,5129,41,378
758,4777,42,260
759,5130,66,378
760,5147,3,383
761,5148,19,383
762,5149,49,383
763,19200,49,1445
764,6929,49,419
765,5150,41,383
766,5163,3,387
767,5164,19,387
768,5165,49,387
769,5166,41,387
770,6930,41,419
771,19201,3,1445
772,19202,16,1445
773,19203,37,1445
774,6997,49,405
775,6998,41,405
776,16221,59,1327
777,5211,3,397
778,5212,19,397
779,5213,49,397
780,5214,41,397
781,5223,3,400
782,5224,19,400
783,5225,49,400
784,5226,41,400
785,16262,49,1189
786,16263,3,1189
787,16264,16,1189
788,19581,49,1470
789,19582,3,1470
790,19583,16,1470
791,7055,3,562
792,7056,49,562
793,7057,16,562
794,7058,37,562
795,19584,37,1470
796,19585,59,1470
797,39978,49,1927
798,4806,49,126
799,4807,16,126
800,39979,3,1927
801,39980,16,1927
802,39981,41,1927
803,4808,3,126
804,39870,49,1958
805,39871,3,1958
806,39872,16,1958
807,39873,41,1958
808,39874,46,1958
809,40084,16,1904
810,40085,6,1904
811,40176,37,1880
812,7167,3,575
813,7168,49,575
814,7169,16,575
815,7170,37,575
816,7195,3,577
817,7196,49,577
818,7197,16,577
819,7198,41,577
820,5379,3,447
821,5380,49,447
822,5381,16,447
823,5382,37,447
824,7275,3,586
825,7276,49,586
826,7277,16,586
827,7278,37,586
828,7299,3,589
829,7300,49,589
830,7301,16,589
831,7302,37,589
832,7347,3,594
833,7348,49,594
834,7349,16,594
835,7350,37,594
836,7371,3,597
837,7372,49,597
838,7373,16,597
839,7374,41,597
840,3020,49,306
841,3021,16,306
842,3022,3,306
843,3023,42,306
844,3024,61,306
845,3025,49,305
846,3026,16,305
847,3027,3,305
848,3028,42,305
849,3029,61,305
850,7431,3,604
851,3040,49,302
852,3041,16,302
853,3042,3,302
854,3043,42,302
855,3044,61,302
856,7432,49,604
857,7433,16,604
858,7434,37,604
859,7471,3,608
860,7472,49,608
861,7473,16,608
862,7474,41,608
863,7511,3,613
864,7512,49,613
865,3067,49,308
866,3068,16,308
867,3069,3,308
868,3070,42,308
869,3071,61,308
870,7513,16,613
871,7514,37,613
872,7531,3,615
873,7532,49,615
874,7533,16,615
875,7534,41,615
876,3095,49,311
877,3096,16,311
878,3097,37,311
879,3098,33,311
880,3099,6,311
881,3100,3,311
882,3117,49,313
883,3118,16,313
884,3119,3,313
885,3120,42,313
886,3121,61,313
887,3122,49,312
888,3123,16,312
889,3124,3,312
890,3125,42,312
891,3126,61,312
892,3132,49,314
893,3133,16,314
894,3134,3,314
895,3135,42,314
896,3136,61,314
897,3142,49,315
898,3143,16,315
899,3144,3,315
900,3145,42,315
901,3146,61,315
902,3642,49,291
903,3643,16,291
904,3644,3,291
905,3645,37,291
906,3162,49,317
907,3163,16,317
908,3164,3,317
909,3165,42,317
910,3166,61,317
911,3670,49,340
912,3671,16,340
913,3672,3,340
914,3673,42,340
915,3674,61,340
916,3687,49,307
917,3688,16,307
918,3182,49,319
919,40236,49,1866
920,40237,16,1866
921,40238,12,1866
922,40239,37,1866
923,40298,49,1847
924,40299,16,1847
925,3183,16,319
926,3184,3,319
927,3185,42,319
928,3186,61,319
929,3187,49,318
930,3188,16,318
931,3189,3,318
932,3190,42,318
933,3191,61,318
934,3192,49,316
935,3193,16,316
936,3194,3,316
937,3195,42,316
938,3196,61,316
939,5131,3,379
940,5132,19,379
941,5133,49,379
942,5134,41,379
943,5151,3,384
944,3202,49,320
945,3203,16,320
946,3204,3,320
947,3205,42,320
948,3206,61,320
949,5152,19,384
950,5153,49,384
951,5154,41,384
952,5167,3,388
953,5168,19,388
954,3212,49,321
955,3213,16,321
956,3214,3,321
957,3215,42,321
958,3216,61,321
959,4778,49,261
960,4779,11,261
961,4780,16,261
962,5169,49,388
963,33388,42,1508
964,118905,49,2651
965,76633,16,3698
966,76634,3,3698
967,5170,41,388
968,76635,61,3698
969,118906,3,2651
970,118907,16,2651
971,118908,41,2651
972,127226,3,2312
973,118909,46,2651
974,118910,59,2651
975,21244,37,1591
976,3238,49,324
977,3239,16,324
978,3240,3,324
979,3241,37,324
980,3242,49,323
981,3243,16,323
982,3244,3,323
983,3245,37,323
984,5203,3,395
985,5204,19,395
986,5205,49,395
987,5206,41,395
988,5215,3,398
989,5216,19,398
990,5217,49,398
991,5218,41,398
992,118911,61,2651
993,3255,49,325
994,3256,16,325
995,3257,3,325
996,3258,42,325
997,3259,61,325
998,127227,16,2312
999,127228,41,2312
1000,127229,80,2312
1001,40177,49,1878
1002,3265,49,326
1003,3266,16,326
1004,3267,3,326
1005,3268,42,326
1006,3269,61,326
1007,40178,16,1878
1008,8519,3,701
1009,8520,49,701
1010,8521,16,701
1011,8522,42,701
1012,40179,3,1878
1013,6931,3,418
1014,6932,19,418
1015,6933,49,418
1016,6934,41,418
1017,33652,49,1859
1018,11719,88,966
1019,33653,3,1859
1020,8603,3,710
1021,8604,49,710
1022,8605,16,710
1023,8606,37,710
1024,8627,3,711
1025,8628,49,711
1026,8629,16,711
1027,8630,42,711
1028,19682,49,1458
1029,19683,3,1458
1030,19684,16,1458
1031,19685,37,1458
1032,21460,49,1616
1033,21461,37,1616
1034,21462,20,1616
1035,21476,49,1589
1036,21477,37,1589
1037,7031,3,560
1038,7032,49,560
1039,7033,16,560
1040,7034,41,560
1041,7059,3,563
1042,7060,49,563
1043,7061,16,563
1044,7062,37,563
1045,21478,20,1589
1046,21488,49,1595
1047,21489,37,1595
1048,21490,20,1595
1049,5395,3,449
1050,5396,49,449
1051,5397,16,449
1052,5398,37,449
1053,7115,3,569
1054,7116,49,569
1055,7117,16,569
1056,7118,40,569
1057,5423,49,182
1058,5424,16,182
1059,5425,3,182
1060,5426,37,182
1061,7143,3,572
1062,7144,49,572
1063,7145,16,572
1064,7146,41,572
1065,7227,3,581
1066,7228,49,581
1067,7229,16,581
1068,7230,37,581
1069,7255,3,584
1070,7256,49,584
1071,7257,16,584
1072,7258,37,584
1073,5498,3,458
1074,5499,49,458
1075,5500,16,458
1076,7455,3,605
1077,7456,49,605
1078,7457,16,605
1079,7458,41,605
1080,3638,16,73
1081,3639,49,73
1082,3640,3,73
1083,3641,37,73
1084,3656,49,351
1085,3657,16,351
1086,3658,3,351
1087,3659,42,351
1088,3675,49,310
1089,3676,3,310
1090,3677,16,310
1091,3678,37,310
1092,3689,3,307
1093,3690,37,307
1094,3691,58,307
1095,20527,49,1541
1096,6859,3,374
1097,6860,19,374
1098,6861,49,374
1099,6862,41,374
1100,4781,42,261
1101,4809,42,126
1102,4834,49,143
1103,4835,16,143
1104,4836,3,143
1105,5135,3,380
1106,5136,19,380
1107,5137,49,380
1108,5138,41,380
