"id","function_id","object_id"
2242,19,1155
2675,133,1175
2246,53,1023
2248,20,1120
2250,53,1072
1794,53,870
1795,5,869
1796,54,869
1797,53,869
1798,53,864
1799,134,865
1800,133,866
1801,10,868
15686,5,7732
2256,6,1164
1805,11,873
1806,133,872
1807,136,874
1808,20,875
1811,19,877
1814,5,879
1815,5,878
1816,5,880
1820,6,863
1821,20,881
1822,20,882
1823,11,883
2730,133,1541
1829,10,884
1830,63,884
1831,11,888
1832,21,889
16949,11,3650
11361,21,471
1835,134,891
1836,53,892
1837,45,893
1838,10,894
1839,45,895
1840,5,896
1841,5,897
1842,5,898
1843,28,899
1844,133,900
1845,11,901
1846,133,902
1848,14,903
1850,5,904
1852,5,905
1854,6,911
1856,5,912
1857,5,913
1858,10,915
1859,5,916
1861,123,918
1863,123,919
1864,123,920
1865,11,921
1866,11,922
1876,5,927
1878,5,929
1879,5,928
1880,5,930
1881,5,931
1882,5,932
1883,3,933
1884,5,934
1885,133,935
1886,133,936
1887,133,937
1888,5,939
1889,5,940
1890,5,941
1891,5,942
1893,136,943
1894,3,944
1895,5,945
1896,8,946
1897,5,947
1898,11,948
1899,10,949
1901,5,950
1902,5,951
1905,5,952
1906,136,953
1907,5,954
1908,5,955
1909,11,956
1911,133,957
1913,21,958
1915,21,961
1916,22,963
1918,21,966
2595,104,536
1941,11,990
2168,79,1090
2174,79,1109
2182,21,1117
2602,20,478
2198,104,1119
2199,79,1119
2206,22,1128
4699,2,2006
2215,19,1136
1952,21,999
1953,21,998
5692,7,1985
2224,21,1141
1956,21,1002
2228,2,434
2232,20,1146
1959,20,1005
10580,2,3686
1962,28,1007
1963,24,1008
1964,10,1010
1965,63,1010
1966,10,1011
1967,63,1011
5703,89,1971
4711,25,1429
1970,131,1013
1971,14,1014
4712,28,1429
1973,6,1015
1974,5,1016
1975,5,1017
11390,20,5964
2193,77,1088
5722,123,1942
2247,11,1086
2249,41,1083
5731,140,1933
2652,77,1461
2658,77,1467
2664,77,1474
2255,5,1163
1986,21,1025
1987,21,1026
4735,5,1831
4746,24,1859
1992,133,1029
1993,13,1031
1994,5,1033
1998,22,965
2005,19,876
2006,10,876
2007,21,885
2736,6,1544
2009,75,887
2010,10,906
2013,22,908
2014,104,908
2015,28,908
2016,13,909
2017,10,910
2018,83,917
2019,5,923
2020,6,923
14522,3,7986
2022,21,962
2023,19,964
2024,19,1009
2025,10,1030
2026,93,1032
2027,93,907
2029,17,991
2278,21,1206
2031,11,989
2032,11,988
2033,11,987
2034,11,986
2035,11,985
11362,21,370
2037,21,979
2038,21,978
2039,11,675
11365,6,5958
2041,53,977
2042,21,980
2043,21,981
2044,11,982
2045,133,983
2046,11,984
2047,21,1006
2048,21,1004
2049,21,1003
2050,21,1000
