"id","color_id","object_id"
843,1,712
844,2,712
1341,1,301
1342,2,301
902,2,787
907,1,791
851,1,720
852,2,720
853,11,727
854,11,731
855,11,736
856,1,738
857,2,738
858,1,739
859,2,739
862,1,746
863,2,746
908,2,791
866,1,748
867,2,748
868,1,749
869,2,749
1370,1,244
872,1,750
873,2,750
2257,1,1940
2291,7,1841
2294,5,1975
874,1,752
875,2,752
1371,2,244
1379,1,255
878,1,753
879,2,753
880,1,754
881,2,754
882,1,756
883,2,756
1380,2,255
5651,4,2012
886,1,774
887,2,774
934,1,852
935,2,852
890,1,778
891,2,778
939,1,862
940,2,862
943,2,859
946,1,872
947,2,872
951,1,880
952,2,880
955,2,896
958,11,899
960,1,929
961,2,929
964,2,930
967,11,933
968,2,934
969,1,935
970,2,935
971,1,936
972,2,936
973,1,937
974,2,939
975,1,940
976,2,940
977,1,941
978,2,941
979,1,942
980,2,942
981,1,943
982,2,943
983,2,944
984,1,946
985,2,946
986,7,946
987,2,947
988,1,948
989,2,948
990,1,949
991,2,949
992,1,950
993,2,950
994,1,951
995,2,951
3175,1,3836
999,1,952
1000,2,952
1001,2,953
1002,1,954
1003,2,954
1004,1,955
1005,2,955
1006,1,956
1007,2,956
1009,11,957
1010,1,1016
1011,2,1016
1021,1,1029
1022,2,1029
1025,10,1020
1026,10,1021
1027,11,1036
1030,1,1038
1031,2,1038
1034,7,185
1035,11,185
1040,1,1040
1041,2,1040
1042,11,1045
1043,11,1046
1044,1,1047
1045,2,1047
1046,2,1048
1050,1,1049
1051,2,1049
1052,7,1049
1053,1,1050
1054,2,1050
1055,2,1051
1056,2,1052
1057,1,1053
1058,2,1053
1059,1,1055
1060,2,1055
1061,2,1056
1062,1,1057
1063,2,1057
1065,2,1058
1067,2,1059
1069,2,1060
1070,2,1061
1073,1,1062
1074,2,1062
1075,2,1063
1076,1,1076
1077,2,1076
1078,2,1077
1079,2,1078
1080,2,1080
1099,1,1096
1100,2,1096
1101,2,1095
1102,1,1124
1103,2,1124
1104,1,1125
1105,2,1125
1106,1,1126
1107,2,1126
1108,1,1128
1109,2,1128
1110,1,434
1111,2,434
1112,7,434
1113,1,1086
1114,2,1086
1335,7,1573
1118,2,1232
3176,2,3836
1120,11,1389
1121,1,718
1122,2,718
1123,1,258
1124,2,258
1616,1,2108
5575,4,7808
1128,1,234
1129,2,234
1130,10,1019
5839,1,7962
1133,1,1018
1134,2,1018
